News ID,Category,Subcategory,Title,Abstract,URL,click,analysis
N105407,news,newsus,'One in a million' deer captured on camera in Michigan woods,Retired Michigan lawmaker and amateur photographer Steven Lindberg took pictures of a deer. That deer had three antlers.,https://assets.msn.com/labs/mind/BBWIdQ6.html,259886.0,"- 珍しい動物の姿を捉えた記事であるため、人々の関心を引く
- 動物の変わった特徴や行動を捉えた写真や動画で再現可能
- 自然環境の中で偶然に起こる珍事件を題材にすると注目を集める"
N100073,lifestyle,lifestyleroyals,Why Prince Harry Wore His Remembrance Poppy Differently from the Rest of the Royal Family,Why Prince Harry's Poppy Was Worn on His Cap,https://assets.msn.com/labs/mind/BBWByOC.html,228730.0,"- プリンスハリーは英国王室の人気メンバーの1人であるため、関連する記事は注目を集めやすい。
- 記事のタイトルは王室の慣習との違いを強調している。王室の伝統や決まり事を破る行動は関心を引く。
- リメンブランス・デーという重要な行事に関連する記事であることもPVを高めた要因。
- 記事の内容が簡潔で分かりやすい。王室の習慣との違いが1点に絞られており、短時間で読める。"
N425,sports,football_nfl_videos,Every touchdown from every Week 10 game,Watch Every Touchdown From Every Game presented by Amazon Prime during Week 10.,https://assets.msn.com/labs/mind/BBWyA7E.html,153496.0,"- NFLの試合ハイライトはファンにとって魅力的なコンテンツである。NFLや他の人気スポーツのハイライトをまとめた記事を作成する。
- 具体的な得点シーンを示すことで視聴者の興味を引く。各チームのスター選手の活躍シーンを取り上げる。
- 試合結果だけでなく選手やチームのドラマにも焦点を当てることで話題性を高められる。
- サムネイルやタイトルに得点シーンや選手名を使うことでクリック率を高められる。"
N61065,entertainment,celebrity,Lamar Odom Is Engaged to Sabrina Parr: See Her Ring!,Lamar Odom Is Engaged to Sabrina Parr: See Her Ring!,https://assets.msn.com/labs/mind/BBWC7DR.html,221509.0,"- Lamar Odomは有名なバスケットボール選手であるため、彼の婚約ニュースは注目を集めやすい

- Lamar Odomは過去にドラッグ中毒などのトラブルがあり、彼の私生活への関心が高い

- 記事のタイトルに「Ring!」とあるように、婚約指輪の画像を掲載することで視覚的に訴求できる 

- 過去の婚約者であるKhloe Kardashianとの関係を触れることで、読者の興味を引き付けられる

- 有名人の婚約・結婚ニュースは感動的で明るい内容となりやすいためPVが高まりやすい"
N83412,tv,tv-celebrity,Hannah Brown on Being Surrounded By Exes Tyler Cameron and Colton Underwood,ET spoke with the former Bachelorette after 'Dancing With the Stars' on Monday.,https://assets.msn.com/labs/mind/BBWCqqq.html,202637.0,"- Hannah Brownが人気のリアリティ番組「The Bachelorette」の主演であるため、視聴者にとって身近な存在である
- 恋愛関係の話題は人の関心を引きつけるテーマの1つである
- 過去の恋人たちとの関係が絡むストーリーなのでドラマチックで興味を引く
- インタビュー形式なので本人の生の声が聞ける独占性がある
- 人気リアリティ番組の出演者同士の関係性を扱っているためファン層にアピールできる"
N23086,entertainment,awards,The Best Backstage Moments From the 2019 E! People's Choice Awards,"Check out Kevin Hart, Adam Sandler, Gwen Stefani and more backstage during the 2019 PCAs.",https://assets.msn.com/labs/mind/BBWyU6g.html,171464.0,"- 著名人のイベントの裏側や舞台裏を扱っているため、ファンの関心を引く話題だ。同様の著名人のイベントの裏側を扱った記事を作成する。
- People's Choice Awardsという有名な賞レースの舞台裏を扱っている。他の有名な賞レースの裏側を扱った記事を作成する。
- ケビン・ハート、アダム・サンドラー、グウェン・ステファニーなどの有名人の名前がある。同様に著名な有名人の名前を記事のタイトルや内容に含める。
- 社会的に話題性のある著名人やイベントを扱っている。時事的な話題性のある著名人やイベントを扱った記事を作成する。"
N43085,weather,weathertopstories,Cold weather: 70% of the country will experience freezing temperatures this week,"Roughly 70% of the US will experience freezing temperatures this week as an Arctic blast hits two thirds of the country. Over 240 million people are under winter warnings, watches and advisories.",https://assets.msn.com/labs/mind/BBWDb4S.html,157796.0,"- 気象条件は多くの人に関心がある話題である。特に極端な気象現象は注目を集める。
- 全米の大部分の地域が影響を受ける広範囲の気象現象であること。
- 気温の急激な変化は人々の生活に大きな影響がある。
- 気象警報が発令されるほどの異常気象であること。
- 具体的な気温の数字と影響を受ける地域の人口を提示し、異常さを強調している。"
N20990,news,newsworld,"The son of a Chinese billionaire has been banned from flying first class, playing golf, buying property, or going clubbing","Wang Sicong, the heir of Chinese real estate mogul Wang Jianlin's estimated $12.5 billion fortune, is said to have a personal debt of $21.6 million.",https://assets.msn.com/labs/mind/BBWDbTe.html,241468.0,"- 中国の著名な富豪の息子の不祥事という注目度の高い題材である
- 中国の富裕層のライフスタイルに関する記事は注目を集めやすい
- 著名人の私生活やスキャンダルに関する記事はクリック率が高い
- 富豪の息子の派手な生活ぶりは人々の興味を引く話題である
- 金銭感覚の異なる富裕層の生活をのぞき見するのは人気のあるコンテンツ"
N32154,news,newsus,"Porsche launches into second story of New Jersey building, killing 2","The Porsche went airborne off a median in Toms River, causing it to crash into a red brick building.",https://assets.msn.com/labs/mind/BBWyjM9.html,220303.0,"- 著名高級車の事故という注目度の高い題材である。
- 異常な事故の様子がインパクトがある。同様の異常な事故を取り上げることで再現可能。
- 事故による死者が出ていることで悲惨さがある。悲惨な事故を取り上げれば再現できる。"
N107637,sports,football_nfl,Russell Wilson vs. 49ers' No. 1 defense: Monday night's prime-time matchup,"What Russell Wilson does to a defense can't be replicated. Certainly not in practice. For example, 49ers backup C.J. Beathard attempted to simulate the Seahawks' quarterback on the scout team last week   trying to give the defense a sense of Wilson's scrambling style   and cornerback Richard Sherman said Beathard strained his back in the process. And Wilson can't be replicated in another game. The 49ers' last game was against Arizona rookie...",https://assets.msn.com/labs/mind/BBWyx9f.html,167222.0,"- タイトルに有名QBのラッセル・ウィルソンと強豪ディフェンスの49ersがマッチアップするとあり、 NFLファンの関心を引く話題だから。
- 49ersのディフェンスがウィルソンのスクランブルを止められるかというドラマ性がある。 
- プライムタイムのマンデーナイトでの試合という視聴率の高い時間帯だから。
- 記事の内容が試合の前哨戦となる分析記事で、試合結果への期待感を掻き立てている。"
